variable_set,network,seed,window,policy,baseline,loss_mean_delta,missed_violation_pct_delta,rmse_mean_delta,choice_fairness_delta
humidity_inside,severe_burst,7,1,b2croi_v8q,error_trigger,-0.01042133425990271,-0.16214964095436646,0.004938393368654204,0.021337240034971394
humidity_inside,severe_burst,8,0,b2croi_v8q,error_trigger,-0.015282211721102612,-0.23164234422052352,0.01649696147495794,0.04308129283030393
humidity_inside,severe_burst,8,1,b2croi_v8q,error_trigger,-0.0066000305767894354,-0.0926569376882094,0.005397109384736476,0.019705993158215862
humidity_inside,severe_burst,9,0,b2croi_v8q,error_trigger,-0.02918317164697707,-0.463284688441047,0.00039281656230727435,0.029642823576183197
humidity_inside,severe_burst,9,1,b2croi_v8q,error_trigger,-0.005202080148251102,-0.06949270326615706,0.014076624114754854,0.02251187030205193
humidity_inside,severe_burst,10,0,b2croi_v8q,error_trigger,-0.010766893676164,-0.13898540653231406,0.0086716669069411,0.03407124012067131
humidity_inside,severe_burst,10,1,b2croi_v8q,error_trigger,-0.010422806578642571,-0.16214964095436646,-0.003843413339860269,0.021909751549178402
humidity_inside,severe_burst,11,0,b2croi_v8q,error_trigger,-0.009716681955061382,-0.11582117211026177,0.02108049319556493,0.04549914591547122
humidity_inside,severe_burst,11,1,b2croi_v8q,error_trigger,-0.000344211257817929,0.0,0.00885919990225953,0.02351181505906841
humidity_inside,severe_burst,12,0,b2croi_v8q,error_trigger,-0.038529814222839937,-0.5791058605513089,0.05565860831876834,0.03622412957757648
humidity_inside,severe_burst,12,1,b2croi_v8q,error_trigger,-0.0013892629140606905,0.0,0.0007927379358225739,0.02386780719655135
humidity_inside,severe_burst,13,0,b2croi_v8q,error_trigger,-0.012843339356034284,-0.1621496409543664,0.02201858858792405,0.02586313879695279
humidity_inside,severe_burst,13,1,b2croi_v8q,error_trigger,-0.0031267417187861926,-0.04632846884410469,-0.00031813076523046213,0.02222320238126163
humidity_inside,severe_burst,14,0,b2croi_v8q,error_trigger,-0.0037760917303683167,-0.09265693768820937,0.06754117270018556,0.0494301837819624
humidity_inside,severe_burst,14,1,b2croi_v8q,error_trigger,-0.004521299976835766,-0.06949270326615709,-0.011778895493460562,0.01256195571229346
humidity_inside,severe_burst,15,0,b2croi_v8q,error_trigger,-0.021543853602038445,-0.3474635163307852,-0.008693610453522571,0.04027194503007325
humidity_inside,severe_burst,15,1,b2croi_v8q,error_trigger,-0.0020809284225156346,-0.023164234422052343,0.005055572232954164,0.014018271017307349
humidity_inside,severe_burst,16,0,b2croi_v8q,error_trigger,-0.035782930738939074,-0.5791058605513089,0.0016077356689288003,0.04239952190840912
humidity_inside,severe_burst,16,1,b2croi_v8q,error_trigger,-0.0020835682186703727,-0.02316423442205235,0.002484930777175043,0.01914987738494367
humidity_inside,severe_burst,17,0,b2croi_v8q,error_trigger,-0.009383823951818391,-0.13898540653231412,-0.007543295960241281,0.04040931007366977
humidity_inside,severe_burst,17,1,b2croi_v8q,error_trigger,-0.005901111883252256,-0.0926569376882094,0.013211314644532735,0.026874067898221
humidity_inside,severe_burst,18,0,b2croi_v8q,error_trigger,-0.006244837618716701,-0.13898540653231412,0.018049000912763846,0.03679847359028854
humidity_inside,severe_burst,18,1,b2croi_v8q,error_trigger,-0.004864414176511465,-0.0463284688441047,-0.001114117021261074,0.022992060955392635
humidity_inside,severe_burst,19,0,b2croi_v8q,error_trigger,-0.005551155895297662,-0.06949270326615706,0.018700473336498324,0.03780491577557987
humidity_inside,severe_burst,19,1,b2croi_v8q,error_trigger,-0.003128262219133657,-0.0463284688441047,-0.0022772504443304697,0.0337875732490136
temperature_inside,burst,0,0,cvoi_sf,error_trigger,0.00315517141533473,0.023164234422052343,0.01883354021955183,0.07664311924228029
temperature_inside,burst,0,1,cvoi_sf,error_trigger,0.0035016272874681467,0.06949270326615706,0.02020412689593673,0.12950313045150175
temperature_inside,burst,1,0,cvoi_sf,error_trigger,0.010116324994208944,0.11582117211026177,0.03203376290605395,0.09493815902352198
temperature_inside,burst,1,1,cvoi_sf,error_trigger,0.0007299976835765561,0.0,0.028732286914195215,0.11327463187995956
temperature_inside,burst,2,0,cvoi_sf,error_trigger,2.3911280982162608e-05,-0.06949270326615703,0.017908679605314393,0.09066008444964013
temperature_inside,burst,2,1,cvoi_sf,error_trigger,-0.0013509149872596733,0.0,0.02780435194222919,0.13245356073193648
temperature_inside,burst,3,0,cvoi_sf,error_trigger,0.006978966875144779,0.04632846884410469,0.028582395018755785,0.0926298533977642
temperature_inside,burst,3,1,cvoi_sf,error_trigger,0.0024604354876071356,0.023164234422052357,0.023499861236853464,0.11721688227677085
temperature_inside,burst,4,0,cvoi_sf,error_trigger,0.011521699096594857,0.11582117211026174,0.04236287419840701,0.10055251243506924
temperature_inside,burst,4,1,cvoi_sf,error_trigger,0.007681624971044711,0.0926569376882094,0.030292525050897773,0.11777224187442348
temperature_inside,burst,5,0,cvoi_sf,error_trigger,0.004888116747741485,0.0,0.020949718930159456,0.07847533704571807
temperature_inside,burst,5,1,cvoi_sf,error_trigger,0.0031502316423442193,0.023164234422052343,0.018421088433707156,0.13004011242744118
temperature_inside,burst,6,0,cvoi_sf,error_trigger,-0.0031017662728746835,-0.11582117211026177,0.021767473276407517,0.08459979152625452
temperature_inside,burst,6,1,cvoi_sf,error_trigger,0.005254268010192263,0.09265693768820941,0.036012547789507465,0.13150546380434758
