N,heterogeneity,bw,network,baseline,n_windows,rmse_mean_delta_mean,rmse_mean_delta_ci95,loss_mean_delta_mean,loss_mean_delta_ci95,missed_violation_pct_delta_mean,missed_violation_pct_delta_ci95,choice_fairness_delta_mean,choice_fairness_delta_ci95
6,low,2,burst,h_no_reliability,4,0.004871728114805504,0.0034646498861908557,-0.00048223504065329076,0.00024127270147131604,-0.008271298593879227,2.6042461676068256e-17,0.00025365954434686255,0.00031470694723333744
6,low,2,burst,oracle,4,0.03530323146727522,0.0031265043468251424,-5.3574160409839734e-05,0.0002750478577748315,-0.008271298593879227,2.6042461676068256e-17,0.03522297732290333,0.009463345014042016
6,low,2,severe_burst,error_trigger,4,0.04258943699613092,0.0073285486225970675,-0.0242344972632458,0.012437458115935194,-0.37014061207609605,0.18238213399503728,0.02496873465111127,0.005828835547010417
6,low,2,severe_burst,generic_voi,4,0.041703332464682205,0.007546868188216361,-0.03039495534143763,0.011135658402510188,-0.4714640198511165,0.16964334611850476,0.0240227995660246,0.004911871613005489
6,low,2,severe_burst,cvoi_sf,4,-0.03073461277505314,0.012482239477558624,-0.04407847163027174,0.005181729865503571,-0.5913978494623656,0.09556682878495089,0.003092326490876013,0.0026779224417073566
6,low,2,severe_burst,h_no_mode,4,0.027698125579851768,0.010033328718669248,-0.0004991751960118744,0.0025466956764778866,-0.0248138957816377,0.03309208640650009,0.026816414665934846,0.004305759375349344
6,low,2,severe_burst,h_no_constraint_bonus,4,0.029435214263505913,0.006106969842761321,5.639382361491245e-05,0.0030746271965248722,-0.014474772539288666,0.04507088715539022,0.026929825693700588,0.004180846186180877
6,low,2,severe_burst,h_no_rmse_cost,4,-0.010480224941991467,0.007367043795717111,-0.0017525310911159202,0.0037607796039341966,-0.026881720430107503,0.06256942626617712,-8.67173877111549e-06,0.0001362624585110687
6,low,2,severe_burst,h_no_reliability,4,0.013719516291562914,0.011771212477148064,-0.0008240003994020254,0.0031276069608919075,-0.02688172043010756,0.04205430043547815,0.0002749753984735426,0.0001371451953164462
6,low,2,severe_burst,oracle,4,0.03819960856368128,0.004021444922549959,-0.000499665721870865,0.0027011196129580178,-0.03308519437551699,0.04025826064856997,0.026275084788991543,0.005618767353807821
12,high,4,burst,error_trigger,4,0.06033440747587978,0.00922017668937319,-0.04448466247798883,0.012401458499078186,-0.6286186931348222,0.14950153507448274,0.004592824414811236,0.0040193677942324665
12,high,4,burst,generic_voi,4,0.06028139723482233,0.010069534539767626,-0.04471712091391955,0.012599789326284963,-0.6286186931348221,0.15294129874963552,0.004135605182150837,0.0029789264104733808
