window,t,loop,p_gaussian,p_empirical,true_violation,mu,xt,age
1,5817,2,0.6178375554834531,0.9528535980148883,1.0,20.954979150951658,20.0,22
1,5818,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5818,1,0.5548913843344345,0.8640198511166253,1.0,21.60115766176813,21.0,11
1,5818,2,0.6139376200991223,0.9290322580645162,1.0,20.987682948065235,21.0,23
1,5819,0,0.6773392783004851,0.8803970223325062,1.0,21.21407716469725,21.0,1
1,5819,1,0.5496702403247736,0.8640198511166253,1.0,21.638528276658914,21.0,12
1,5819,2,0.7067982515853065,0.8635235732009926,1.0,21.127676550378542,20.0,0
1,5820,0,0.6551441642633133,0.8803970223325062,1.0,21.25594723949594,21.0,2
1,5820,1,0.5449831518087838,0.8640198511166253,1.0,21.675576920438534,21.0,13
1,5820,2,0.8743109719590418,0.975682382133995,1.0,20.16091707837672,21.0,0
1,5821,0,0.6369344948324608,0.8803970223325062,1.0,21.29750761994813,21.0,3
1,5821,1,0.5407722156148416,0.8640198511166253,1.0,21.712306367088544,21.0,14
1,5821,2,0.7067982515853065,0.8635235732009926,1.0,21.127676550378542,21.0,0
1,5822,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5822,1,0.536987409546824,0.8640198511166253,1.0,21.748719366690928,21.0,15
1,5822,2,0.6812323207675826,0.8635235732009926,1.0,21.158926965016445,21.0,1
1,5823,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5823,1,0.5335850855548522,0.8640198511166253,1.0,21.78481864563399,21.0,16
1,5823,2,0.6612896328320234,0.8635235732009926,1.0,21.189914383192654,21.0,2
1,5824,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5824,1,0.5305268661065423,0.8640198511166253,1.0,21.820606906816508,21.0,17
1,5824,2,0.64508698608745,0.8635235732009926,1.0,21.220641018226253,21.0,3
1,5825,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5825,1,0.5277788100878861,0.8640198511166253,1.0,21.856086829850103,21.0,18
1,5825,2,0.6315343310481438,0.8635235732009926,1.0,21.251109064809516,21.0,4
1,5826,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5826,1,0.5253107637486387,0.8640198511166253,1.0,21.891261071259876,21.0,19
1,5826,2,0.61995565181731,0.8635235732009926,1.0,21.28132069916469,21.0,5
1,5827,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5827,1,0.5230958423613827,0.7821339950372208,0.0,21.926132264683307,22.0,20
1,5827,2,0.6099088133658436,0.8635235732009926,1.0,21.311278079199425,21.0,6
1,5828,0,0.6773392783004851,0.8803970223325062,1.0,21.21407716469725,21.0,1
1,5828,1,0.46772322354703166,0.12009925558312655,1.0,22.133993220605667,21.0,0
1,5828,2,0.6010913947699671,0.8635235732009926,1.0,21.3409833446609,21.0,7
1,5829,0,0.6551441642633133,0.8803970223325062,1.0,21.25594723949594,21.0,2
1,5829,1,0.6924909958527431,0.8640198511166253,1.0,21.168012889573806,21.0,0
1,5829,2,0.5932880297253925,0.8635235732009926,1.0,21.370438617288663,21.0,8
1,5830,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5830,1,0.6661977703246612,0.8640198511166253,1.0,21.209115316317437,21.0,1
1,5830,2,0.5863395283993574,0.8635235732009926,1.0,21.399646000966186,21.0,9
1,5831,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5831,1,0.6455842286154154,0.8640198511166253,1.0,21.249863620067675,21.0,2
1,5831,2,0.5801241319237846,0.8635235732009926,1.0,21.428607581871123,21.0,10
1,5832,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5832,1,0.6287544015451382,0.8640198511166253,1.0,21.290260851814555,21.0,3
1,5832,2,0.5745458133854489,0.8635235732009926,1.0,21.45732542862433,21.0,11
1,5833,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5833,1,0.6146169115107065,0.8640198511166253,1.0,21.33031003626193,21.0,4
1,5833,2,0.5695267962538976,0.8635235732009926,1.0,21.485801592437618,21.0,12
1,5834,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5834,1,0.6024984178599379,0.8640198511166253,1.0,21.370014172053956,21.0,5
1,5834,2,0.5650026561475945,0.8635235732009926,1.0,21.51403810726025,21.0,13
1,5835,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5835,1,0.5919600261633909,0.8640198511166253,0.0,21.409376231999598,22.0,6
1,5835,2,0.5609190362003015,0.8635235732009926,1.0,21.542036989924245,21.0,14
1,5836,0,0.6773392783004851,0.8803970223325062,1.0,21.21407716469725,21.0,1
1,5836,1,0.46772322354703166,0.12009925558312655,1.0,22.133993220605667,21.0,0
1,5836,2,0.5572293886412207,0.8635235732009926,1.0,21.569800240288405,21.0,15
1,5837,0,0.6551441642633133,0.8803970223325062,1.0,21.25594723949594,21.0,2
1,5837,1,0.6924909958527431,0.8640198511166253,1.0,21.168012889573806,21.0,0
1,5837,2,0.5538933807912515,0.8635235732009926,1.0,21.597329841381175,21.0,16
1,5838,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5838,1,0.6661977703246612,0.8640198511166253,1.0,21.209115316317437,21.0,1
1,5838,2,0.5508757392980346,0.8635235732009926,1.0,21.62462775954228,21.0,17
1,5839,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5839,1,0.6455842286154154,0.8640198511166253,1.0,21.249863620067675,21.0,2
1,5839,2,0.5481453892079534,0.8635235732009926,1.0,21.651695944563162,21.0,18
1,5840,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5840,1,0.6287544015451382,0.8640198511166253,1.0,21.290260851814555,21.0,3
1,5840,2,0.5456747956589874,0.8635235732009926,1.0,21.678536329826272,21.0,19
1,5841,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5841,1,0.6146169115107065,0.8640198511166253,1.0,21.33031003626193,21.0,4
1,5841,2,0.5434394480116239,0.8635235732009926,1.0,21.705150832443138,21.0,20
1,5842,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
1,5842,1,0.6024984178599379,0.8640198511166253,1.0,21.370014172053956,21.0,5
1,5842,2,0.5414174465158429,0.8635235732009926,1.0,21.731541353391314,21.0,21
1,5843,0,0.7054813142664176,0.8803970223325062,1.0,21.171895087811208,21.0,0
